Reference_ID,open_now,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
d87ae965a1f909d8d32703725c35a2eb998b2f1c,1,"Monday: 12:00 – 10:00 PM","Tuesday: 12:00 – 10:00 PM","Wednesday: 12:00 – 10:00 PM","Thursday: 12:00 – 11:30 PM","Friday: 12:00 PM – 4:00 AM","Saturday: 1:00 PM – 4:00 AM","Sunday: 1:00 – 10:00 PM"
ef1f0577c1a2f9f39abf16d24816defdd7f7543a,1,"Monday: 12:00 – 9:30 PM","Tuesday: 12:00 – 9:30 PM","Wednesday: 12:00 – 10:00 PM","Thursday: 12:00 – 10:00 PM","Friday: 12:00 – 11:00 PM","Saturday: 12:00 – 11:00 PM","Sunday: 12:00 – 9:00 PM"
b6c1c78243fd2acd03aa5d4d98f493a61f73b8e0,1,"Monday: 12:00 – 10:00 PM","Tuesday: 12:00 – 10:00 PM","Wednesday: 12:00 – 10:00 PM","Thursday: 8:00 AM – 11:00 PM","Friday: 8:00 AM – 11:00 PM","Saturday: 8:00 AM – 11:00 PM","Sunday: 8:00 AM – 10:00 PM"
44cbfd25e85fe12aaea8c8e578e838edd3633369,1,"Monday: 9:00 AM – 10:00 PM","Tuesday: 9:00 AM – 10:00 PM","Wednesday: 9:00 AM – 10:00 PM","Thursday: 12:00 AM – 11:00 PM","Friday: 12:00 AM – 11:00 PM","Saturday: 12:00 AM – 11:00 PM","Sunday: 9:00 AM – 10:00 PM"
9c0993ef2c1abe6613ff3c5182d2b96617ca913e,1,"Monday: 5:00 – 9:15 PM","Tuesday: 5:00 – 9:15 PM","Wednesday: 5:00 – 9:15 PM","Thursday: 5:00 – 9:15 PM","Friday: 12:00 – 10:15 PM","Saturday: 12:00 – 10:15 PM","Sunday: 12:00 – 9:00 PM"
733d27c4d69a3b343174dd809efa5ffd0099e8ce,1,"Monday: 8:00 AM – 9:00 PM","Tuesday: 8:00 AM – 9:00 PM","Wednesday: 8:00 AM – 9:00 PM","Thursday: 8:00 AM – 9:00 PM","Friday: 8:00 AM – 9:00 PM","Saturday: 9:00 AM – 9:00 PM","Sunday: 9:00 AM – 9:00 PM"
604c97eaca8794592083981b400c15824bf97f9b,1,"Monday: 12:00 – 9:00 PM","Tuesday: 12:00 – 9:00 PM","Wednesday: 12:00 – 9:00 PM","Thursday: 12:00 – 10:00 PM","Friday: 12:00 – 10:00 PM","Saturday: 12:00 – 10:00 PM","Sunday: 12:00 – 9:00 PM"
459374a0ad6d57ba83c5c91db79cab81ccb8778e,1,"Monday: 12:00 PM – 4:00 AM","Tuesday: 12:00 PM – 4:00 AM","Wednesday: 12:00 PM – 4:00 AM","Thursday: 12:00 PM – 4:00 AM","Friday: 12:00 PM – 5:00 AM","Saturday: 12:00 PM – 5:00 AM","Sunday: 12:00 PM – 12:00 AM"
d563b9f794544fa61399a1702d24d3ac962bdcc8,1,"Monday: 12:00 – 10:00 PM","Tuesday: 12:00 – 10:00 PM","Wednesday: 12:00 – 10:00 PM","Thursday: 12:00 – 10:00 PM","Friday: 12:00 – 11:00 PM","Saturday: 12:00 – 11:00 PM","Sunday: 12:00 – 9:00 PM"
f9ebe4dbffbf1667e594b8b78d6330ae7b1c8813,1,"Monday: 12:30 – 9:30 PM","Tuesday: 12:30 – 9:30 PM","Wednesday: 12:30 – 9:30 PM","Thursday: 12:30 – 9:30 PM","Friday: 12:00 – 10:00 PM","Saturday: 12:00 – 10:00 PM","Sunday: 12:00 – 9:00 PM"
2b328779a3231256237af13e65a4da39ec7aaf38,1,"Monday: 5:00 – 9:30 PM","Tuesday: 12:00 – 10:00 PM","Wednesday: 12:00 – 10:00 PM","Thursday: 12:00 – 10:00 PM","Friday: 12:00 – 9:30 PM","Saturday: 12:00 – 9:30 PM","Sunday: 12:00 – 9:30 PM"
00716f9351b9ec9731f99a4e8dd9f1af92f5c4f6,1,"Monday: 10:00 AM – 10:30 PM","Tuesday: 10:00 AM – 10:30 PM","Wednesday: 10:00 AM – 10:30 PM","Thursday: 10:00 AM – 10:30 PM","Friday: 10:00 AM – 11:30 PM","Saturday: 10:00 AM – 11:30 PM","Sunday: 10:00 AM – 10:30 PM"
2c37099cfa7ab09d2f501e753a488b3a995742eb,1,"Monday: 12:00 – 9:30 PM","Tuesday: 12:00 – 9:30 PM","Wednesday: 12:00 – 9:30 PM","Thursday: 12:00 – 10:30 PM","Friday: 12:00 – 10:30 PM","Saturday: 12:00 – 10:30 PM","Sunday: 1:00 – 9:30 PM"
a8fcd9bdd8b2d079c296eae58b62ceb0d0abcf85,1,"Monday: 12:00 – 9:30 PM","Tuesday: 12:00 – 9:30 PM","Wednesday: 12:00 – 9:30 PM","Thursday: 12:00 – 10:30 PM","Friday: 12:00 – 10:30 PM","Saturday: 12:00 – 10:30 PM","Sunday: 12:00 – 9:30 PM"
b03b3cb69d28585bf1ddb7fc07d883a5ec86c89c,1,"Monday: 7:00 AM – 1:00 AM","Tuesday: 7:00 AM – 1:00 AM","Wednesday: 7:00 AM – 1:00 AM","Thursday: 7:00 AM – 1:00 AM","Friday: 7:00 AM – 4:00 AM","Saturday: 7:00 AM – 5:00 AM","Sunday: 9:00 AM – 12:00 AM"
de2663184a9631f37f11d7d3723a3979b056d5c3,,"Monday: 9:00 AM – 6:00 PM","Tuesday: 9:00 AM – 6:00 PM","Wednesday: 9:00 AM – 6:00 PM","Thursday: 9:00 AM – 7:00 PM","Friday: 9:00 AM – 7:00 PM","Saturday: 9:00 AM – 6:00 PM","Sunday: 9:00 AM – 6:00 PM"
2802ca24099b12481788490944aee20ef603bef2,1,"Monday: 12:00 – 9:30 PM","Tuesday: 12:00 – 9:30 PM","Wednesday: 12:00 – 10:00 PM","Thursday: 12:00 – 10:00 PM","Friday: 12:00 – 10:00 PM","Saturday: 12:00 – 10:00 PM","Sunday: 12:00 – 9:30 PM"
9bb88ca4510407367bc7f2592775ac5aa69f933d,1,"Monday: 3:00 – 10:30 PM","Tuesday: 3:00 – 10:30 PM","Wednesday: 3:00 – 10:30 PM","Thursday: 3:00 – 10:30 PM","Friday: 1:00 – 10:30 PM","Saturday: 1:00 – 10:30 PM","Sunday: 1:00 – 10:30 PM"
0bfe86aa4ad791e3f18a60a4ac4f930c9dbfe900,1,"Monday: 12:00 PM – 12:00 AM","Tuesday: 12:00 PM – 12:00 AM","Wednesday: 12:00 PM – 12:00 AM","Thursday: 12:00 PM – 12:00 AM","Friday: 12:00 PM – 12:00 AM","Saturday: 12:00 PM – 12:00 AM","Sunday: 12:00 PM – 12:00 AM"
